2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
3,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
4,"0;0;1 1;0;1 2;0;2 2;1;3 2;2;4 
5;1;5 4;1;5 4;2;6 3;2;7 3;3;8 
"
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
2,"1;0;3 1;1;3 1;2;4 1;3;5 
0;1;1 1;1;1 2;1;2 "
